Date,In (bps),Out (bps)
2025-10-03 00:05:00,"444895,38","8800197,22"
2025-10-03 00:10:00,"489407,62","10888596,61"
2025-10-03 00:15:00,"487594,09","10670771,75"
2025-10-03 00:20:00,"452740,83","10197676,91"
2025-10-03 00:25:00,"425259,19","10240612,70"
2025-10-03 00:30:00,"438437,58","9647245,53"
2025-10-03 00:35:00,"433421,86","8838748,63"
2025-10-03 00:40:00,"434188,89","8281872,25"
2025-10-03 00:45:00,"408583,00","8217353,97"
2025-10-03 00:50:00,"424153,21","8553608,93"
2025-10-03 00:55:00,"464058,24","9096161,80"
2025-10-03 01:00:00,"619393,71","9058730,02"
2025-10-03 01:05:00,"592306,43","8236515,18"
2025-10-03 01:10:00,"415586,11","8227475,45"
2025-10-03 01:15:00,"434099,21","7333066,40"
2025-10-03 01:20:00,"402022,41","5631572,97"
2025-10-03 01:25:00,"397185,95","5116814,72"
2025-10-03 01:30:00,"400828,08","5237337,57"
2025-10-03 01:35:00,"409215,68","7271293,70"
2025-10-03 01:40:00,"439641,85","9657241,44"
2025-10-03 01:45:00,"405865,84","10205288,33"
2025-10-03 01:50:00,"367846,86","8973338,01"
2025-10-03 01:55:00,"408552,25","7772292,38"
2025-10-03 02:00:00,"646564,50","7655149,65"
2025-10-03 02:05:00,"862867,23","7357786,18"
2025-10-03 02:10:00,"860143,33","7142840,38"
2025-10-03 02:15:00,"871238,01","7013167,36"
2025-10-03 02:20:00,"855248,69","6819387,09"
2025-10-03 02:25:00,"830014,72","6822178,25"
2025-10-03 02:30:00,"851399,89","6965501,88"
2025-10-03 02:35:00,"838614,61","6859885,62"
2025-10-03 02:40:00,"821834,02","6792255,94"
2025-10-03 02:45:00,"799346,02","6830126,47"
2025-10-03 02:50:00,"808639,36","6884068,56"
2025-10-03 02:55:00,"854813,72","7092250,12"
2025-10-03 03:00:00,"836136,78","7064399,85"
2025-10-03 03:05:00,"820568,75","6905684,57"
2025-10-03 03:10:00,"893068,17","10744903,66"
2025-10-03 03:15:00,"902550,61","11793691,69"
2025-10-03 03:20:00,"832689,15","8467592,74"
2025-10-03 03:25:00,"845873,79","8290935,09"
2025-10-03 03:30:00,"846326,76","8132457,47"
2025-10-03 03:35:00,"833080,70","8018910,67"
2025-10-03 03:40:00,"830011,24","8023079,54"
2025-10-03 03:45:00,"639600,45","8013617,72"
2025-10-03 03:50:00,"430093,83","7874921,68"
2025-10-03 03:55:00,"405116,02","7956470,00"
2025-10-03 04:00:00,"389976,70","7909288,80"
2025-10-03 04:05:00,"392441,88","7409951,93"
2025-10-03 04:10:00,"398487,59","7618734,81"
2025-10-03 04:15:00,"400948,69","8272615,43"
2025-10-03 04:20:00,"388061,21","8069388,01"
2025-10-03 04:25:00,"369250,93","8004190,08"
2025-10-03 04:30:00,"372464,56","8061690,78"
2025-10-03 04:35:00,"384887,23","8109142,80"
2025-10-03 04:40:00,"364042,33","8118832,48"
2025-10-03 04:45:00,"364613,53","8003318,51"
2025-10-03 04:50:00,"380306,64","7910788,76"
2025-10-03 04:55:00,"389957,97","7408718,58"
2025-10-03 05:00:00,"368331,92","6609801,79"
2025-10-03 05:05:00,"337193,70","6654590,37"
2025-10-03 05:10:00,"330088,37","7174696,52"
2025-10-03 05:15:00,"339903,99","7524724,98"
2025-10-03 05:20:00,"392150,79","7851886,79"
2025-10-03 05:25:00,"430822,23","8861423,91"
2025-10-03 05:30:00,"450862,34","9969418,23"
2025-10-03 05:35:00,"426511,93","11018245,13"
2025-10-03 05:40:00,"413312,14","11060719,54"
2025-10-03 05:45:00,"451582,34","12122353,08"
2025-10-03 05:50:00,"636525,45","14309444,04"
2025-10-03 05:55:00,"696333,37","12123639,35"
2025-10-03 06:00:00,"886600,70","9396057,13"
2025-10-03 06:05:00,"1364781,25","8839449,39"
2025-10-03 06:10:00,"1492463,70","8475672,29"
2025-10-03 06:15:00,"1459385,42","9730247,05"
2025-10-03 06:20:00,"1431979,61","10238812,57"
2025-10-03 06:25:00,"1460741,68","9745905,82"
2025-10-03 06:30:00,"1463471,98","10096912,97"
2025-10-03 06:35:00,"1485286,42","9406688,55"
2025-10-03 06:40:00,"1545115,84","9101812,77"
2025-10-03 06:45:00,"1740612,38","10817317,09"
2025-10-03 06:50:00,"1727061,86","11380069,89"
2025-10-03 06:55:00,"1470381,26","11504491,28"
2025-10-03 07:00:00,"1007626,39","10943244,13"
2025-10-03 07:05:00,"617106,37","10368896,23"
2025-10-03 07:10:00,"878773,18","11256432,83"
2025-10-03 07:15:00,"881446,59","9988976,66"
2025-10-03 07:20:00,"639296,74","6921778,32"
2025-10-03 07:25:00,"542484,98","5929029,99"
2025-10-03 07:30:00,"431416,78","6738586,25"
2025-10-03 07:35:00,"406878,02","5810075,16"
2025-10-03 07:40:00,"422473,15","6534387,23"
2025-10-03 07:45:00,"426831,23","6934790,34"
2025-10-03 07:50:00,"450859,44","8283474,16"
2025-10-03 07:55:00,"473304,37","7783492,20"
2025-10-03 08:00:00,"546214,36","8500270,95"
2025-10-03 08:05:00,"689333,83","11765531,70"
2025-10-03 08:10:00,"1063690,57","10226706,87"
2025-10-03 08:15:00,"1576644,09","9749308,74"
2025-10-03 08:20:00,"1416121,31","10243127,52"
2025-10-03 08:25:00,"1012965,43","12339860,59"
2025-10-03 08:30:00,"952369,04","15906984,02"
2025-10-03 08:35:00,"986199,76","15016895,66"
2025-10-03 08:40:00,"1642256,47","15679215,32"
2025-10-03 08:45:00,"1752144,73","20427321,84"
2025-10-03 08:50:00,"1266688,56","18739712,67"
2025-10-03 08:55:00,"1353611,11","16149239,30"
2025-10-03 09:00:00,"1721732,99","22662910,58"
2025-10-03 09:05:00,"2289147,79","29307291,10"
2025-10-03 09:10:00,"2298267,01","29180871,10"
2025-10-03 09:15:00,"2211203,92","30044570,25"
2025-10-03 09:20:00,"2216860,84","32950975,70"
2025-10-03 09:25:00,"2084304,07","36384116,66"
2025-10-03 09:30:00,"2299262,11","41009434,32"
2025-10-03 09:35:00,"3026429,33","49170362,68"
2025-10-03 09:40:00,"3006328,87","52175607,33"
2025-10-03 09:45:00,"3139446,89","50169778,68"
2025-10-03 09:50:00,"3767014,50","52096035,28"
2025-10-03 09:55:00,"2847757,61","48766901,38"
2025-10-03 10:00:00,"2089060,80","44443560,34"
2025-10-03 10:05:00,"2260511,40","38403004,85"
2025-10-03 10:10:00,"2766270,42","40856436,38"
2025-10-03 10:15:00,"3550159,81","47281392,63"
2025-10-03 10:20:00,"3835086,49","49969967,66"
2025-10-03 10:25:00,"3559918,98","51750863,09"
2025-10-03 10:30:00,"3297161,96","46582793,32"
2025-10-03 10:35:00,"3603394,82","43386082,57"
2025-10-03 10:40:00,"3833272,94","43333612,56"
2025-10-03 10:45:00,"3333997,76","48037812,49"
2025-10-03 10:50:00,"2909261,48","54385595,64"
2025-10-03 10:55:00,"3107193,18","48770753,93"
2025-10-03 11:00:00,"3151214,53","41925536,18"
2025-10-03 11:05:00,"2506900,44","31849378,24"
2025-10-03 11:10:00,"2170653,20","32760782,73"
2025-10-03 11:15:00,"2102181,58","36885644,04"
2025-10-03 11:20:00,"2100402,42","33333494,36"
2025-10-03 11:25:00,"2340756,82","36068727,35"
2025-10-03 11:30:00,"2750191,52","35519217,34"
2025-10-03 11:35:00,"2845028,97","34977910,67"
2025-10-03 11:40:00,"2555850,40","34695853,53"
2025-10-03 11:45:00,"2411982,43","29765717,41"
2025-10-03 11:50:00,"2719081,35","35330040,95"
2025-10-03 11:55:00,"2823922,05","43305859,07"
2025-10-03 12:00:00,"2427452,01","30250992,54"
2025-10-03 12:05:00,"2271649,92","23423769,78"
2025-10-03 12:10:00,"2308363,46","25539207,51"
2025-10-03 12:15:00,"2077002,59","23049535,05"
2025-10-03 12:20:00,"1827714,23","22744655,27"
2025-10-03 12:25:00,"1745924,67","25432973,21"
2025-10-03 12:30:00,"1657536,79","22244954,46"
2025-10-03 12:35:00,"1640265,95","19865690,15"
2025-10-03 12:40:00,"1709418,85","20919607,81"
2025-10-03 12:45:00,"1680364,06","20538425,38"
2025-10-03 12:50:00,"1468496,70","21151508,84"
2025-10-03 12:55:00,"1541547,75","20596155,90"
2025-10-03 13:00:00,"1585131,42","21016181,32"
2025-10-03 13:05:00,"1363896,74","21865315,09"
2025-10-03 13:10:00,"1746659,97","21658117,73"
2025-10-03 13:15:00,"2622394,05","20751364,64"
2025-10-03 13:20:00,"2736159,17","18578450,77"
2025-10-03 13:25:00,"2625171,74","19703353,18"
2025-10-03 13:30:00,"3395561,51","24345104,00"
2025-10-03 13:35:00,"4210844,91","31590823,20"
2025-10-03 13:40:00,"4563833,60","40509873,62"
2025-10-03 13:45:00,"4134437,00","44537378,04"
2025-10-03 13:50:00,"3530233,09","43936474,21"
2025-10-03 13:55:00,"2945824,79","45150428,46"
2025-10-03 14:00:00,"3182764,19","52693525,16"
2025-10-03 14:05:00,"4529416,78","56068252,93"
2025-10-03 14:10:00,"5046844,24","54914443,44"
2025-10-03 14:15:00,"8519457,63","59854300,31"
2025-10-03 14:20:00,"9525459,04","60565175,46"
2025-10-03 14:25:00,"7169384,53","56627828,06"
2025-10-03 14:30:00,"7134592,95","56412814,40"
2025-10-03 14:35:00,"6496083,09","57107469,85"
2025-10-03 14:40:00,"5767969,63","47682542,74"
2025-10-03 14:45:00,"4634223,31","41993471,44"
2025-10-03 14:50:00,"5183820,65","50824152,14"
2025-10-03 14:55:00,"5098983,50","55910260,95"
2025-10-03 15:00:00,"4424392,54","62311526,04"
2025-10-03 15:05:00,"4429038,77","63941780,40"
2025-10-03 15:10:00,"3679626,95","48947765,14"
2025-10-03 15:15:00,"3314128,16","35938327,98"
2025-10-03 15:20:00,"3199283,13","31823810,61"
2025-10-03 15:25:00,"3849344,51","41712040,72"
